"Kreisschlüssel";"Kreis";"Abs_tot";"Quote_tot";"ErwPers";"BuLa"
16068;"Sömmerda";1325;3.3;40151.5151515152;"Thüringen"
16069;"Hildburghausen";964;2.6;37076.9230769231;"Thüringen"
16070;"Ilm-Kreis";1628;2.8;58142.8571428572;"Thüringen"
16071;"Weimarer Land";1120;2.4;46666.6666666667;"Thüringen"
16072;"Sonneberg";785;2.5;31400;"Thüringen"
16073;"Saalfeld-Rudolstadt";1524;2.5;60960;"Thüringen"
16074;"Saale-Holzland-Kreis";1191;2.6;45807.6923076923;"Thüringen"
16075;"Saale-Orla-Kreis";1418;3.1;45741.935483871;"Thüringen"
16076;"Greiz";1795;3.3;54393.9393939394;"Thüringen"
16077;"Altenburger Land";1693;3.4;49794.1176470588;"Thüringen"
